0009d697860c9303a9a1c3cdd48c4d63,a68a9cda79573861dbce00ef0e72adf8,"",California,iOS,2018-01-16,1,0,0,0,0
00276b14e7be9dcb314ef6370433f255,e23961210591fee427fad7c1b7315052,"",Virginia,Web,2018-01-15,0,0,1,0,0
004682845b2b5d46afc6b82e07987c52,6fca4bae12db7facf8fb76dfacc95811,"",Texas,iOS,2018-01-16,5,1,3,2,0
00a6b7c03536438a5e459edd9c39588f,2d5391226bece9e5e8d68a81db37636c,google,California,Web,2018-01-15,6,2,4,3,3
00a6b7c03536438a5e459edd9c39588f,c349cbdb477f17fac8b433ca2be652a3,google,California,iOS,2018-01-15,3,0,0,0,0
00c01bf379c3a6cb54f8c8c4f9e90e96,cdba09dea1ed764794afd487d7c2d164,"",Virginia,Web,2018-01-15,0,0,1,0,0
00c1d14b986d52007f9295c49042bcf6,4e7cf22557e9594da202acde4383e2f1,google,Illinois,Web,2018-01-15,1,1,1,0,0
00c463e7908a3e3af395e1b58238f551,07f7919607f264da51e322227058c8c8,"",Virginia,Web,2018-01-16,0,0,1,0,0
01b0129a974f6b69875c1279588bd290,5b3b5595a66d926f0155b6cf5e570d36,"",Georgia,iOS,2018-01-15,1,1,0,0,0
01b4a80a0361ec07beae29e848a5e8cf,63ee690e83e5a7608d4a35cdb9724e75,"",Texas,iOS,2018-01-15,16,0,1,1,1
01b4a80a0361ec07beae29e848a5e8cf,63ee690e83e5a7608d4a35cdb9724e75,doordash,Texas,iOS,2018-01-16,14,0,0,0,0
01b4a80a0361ec07beae29e848a5e8cf,e51f2263566b564079532679bede84af,google,"North Carolina",Web,2018-01-16,1,1,1,1,1
01b6f20c6da9a0272041dd53159491fc,cbc903f4d431a6c5f2a3fe160df37d4e,google,"North Carolina",Web,2018-01-16,0,0,1,0,0
0254abe771c88294bba70fd8c40b8c2d,12c5cd5b6975db897b7eb7a8dde9713a,"",Indiana,Android,2018-01-15,5,0,6,1,1
028e6937fd7e1026358b0b175f319ef1,c2c2539b6128a79f0c202c0e44874d5b,google,Arizona,Web,2018-01-15,1,1,1,0,0
02984f1eea82b37904f920a8923d7c1a,42339a5232746821c22a964dce8232e5,"",Minnesota,Android,2018-01-15,2,0,4,1,1
02bbf15897851061156c500e6dbacec0,33daea355ddb6020751ae46d92e7bd19,"",Virginia,Web,2018-01-15,0,0,1,0,0
02ef86fc36f52a4cb042919d17897e8c,3ba08b32c3a8c9750cd061940890015c,"","District of Columbia",iOS,2018-01-15,6,0,1,1,1
0303b1599773bcf15d21ac313cd1e71c,3549150f17bd62a4a552aae1c048894f,"",Virginia,Web,2018-01-16,0,0,1,0,0
031b31d2961617440718f942ac4becc9,b1ab98bcbeb8c979ca2b072ba965fd00,"","New Jersey",iOS,2018-01-16,13,2,6,1,1
031b31d2961617440718f942ac4becc9,b1ab98bcbeb8c979ca2b072ba965fd00,"","New York",iOS,2018-01-16,4,0,0,0,0
0325d3beb0420934f317181d3254a6ce,102eaeff23c1dc43b4b822c0445b8a67,"",Virginia,Web,2018-01-15,0,0,1,0,0
036c59c3471d8f01692459ea7d325805,518a3665dc031c6a00051e3aeb0d2d3f,"",Virginia,Web,2018-01-15,0,0,1,0,0
03cf42864810751f8803fe1392ce94ec,3c8cc5f3fbaf02406c2e23446f5a2529,"",Massachusetts,Web,2018-01-15,2,1,1,0,0
03f0dec643fbc6e676aad72cdb603a1a,fb8165c0d853b166199c1fb2e3799ce3,"",Virginia,Web,2018-01-16,0,0,1,0,0
03f82a5c72122c80d04737e4c68fa5f4,81e7bff9370f0b8f5a87806ce46bf7a8,"",Oklahoma,Android,2018-01-16,3,1,1,1,1
04090971c8de596cdcc6ab750cae23c8,3368760742b5d7fe1eefe01bd1678b82,"",California,Android,2018-01-15,1,1,0,0,0
0421a27544fba1f275ba8ea5d3a722eb,89ac8a8819b3ab58fa5c383e4c00dbb9,"","New York",Android,2018-01-15,1,0,0,0,0
04298090a0b785bcfd82fe2bf7390370,ad26607e7c2c86be78953ce6da1b343f,google,California,Android,2018-01-16,3,0,1,0,0
0484fa83c18852c4c334399d9947577a,256a6c6f98ecc9618e1092b69ce817d9,"",Virginia,Web,2018-01-16,0,0,1,0,0
04b5d1a2a64f61613652b6df402616cd,52e2e42dbf87c9167af44507d478d367,google,Texas,Web,2018-01-16,1,0,0,0,0
04d05a577e7285cc70a199da1eccecaf,b284cb6661055a9c64229ce3b1d00f5a,google,"New York",iOS,2018-01-16,2,0,0,0,0
